org_id,org_name
1093,Arkitekturmuseet
477,Arts University Bournemouth
391,Aston University
392,Bangor University
393,Bath Spa University
637,BIBSAM
394,Birkbeck College
395,Birmingham City University
396,Bishop Grosseteste University
1057,Blekinge tekniska högskola
397,Bournemouth University
398,Brunel University
399,Buckinghamshire New University
1094,CAN
1047,Cancer Research UK (CRUK)
400,Canterbury Christ Church University
401,Cardiff Metropolitan University
402,Cardiff University
403,Central School of Speech and Drama
1058,Chalmers tekniska högskola
1143,City College Norwich
404,City University, London
405,Conservatoire for Dance and Drama
406,Courtauld Institute of Art
407,Coventry University
408,Cranfield University
409,De Montfort University
1154,DFG Consortia
410,Durham University
411,Edge Hill University
413,Edinburgh Napier University
565,Eduserv
1059,Ersta Sköndal högskola
482,Falmouth University
1095,Folkhälsomyndigheten
1096,Försvarets materielverk FMV
1060,Försvarshögskolan
414,Glasgow Caledonian University
415,Glasgow School of Art
416,Glyndwr University
417,Goldsmiths College, University of London
418,Guildhall School of Music and Drama
1061,Gymnastik- och idrottshögskolan
1062,Göteborgs universitet
1063,Handelshögskolan i Stockholm
419,Harper Adams University College
1097,Havs- och vattenmyndigheten
1155,Head office HBZ
420,Heriot-Watt University
1145,Heythrop College, University of London
1098,Hjälpmedelsinstitutet HI
1064,Högskolan Dalarna
1065,Högskolan i Borås
1066,Högskolan i Gävle
1067,Högskolan i Halmstad
1068,Högskolan i Jönköping
1069,Högskolan i Skövde
1070,Högskolan Kristianstad
1071,Högskolan Väst
421,Imperial College London
1099,Institut Mittag-Leffler
1140,Institute of Cancer Research
422,Institute of Education
35,JISC Collections
1072,Karlstads universitet
1073,Karolinska institutet
423,Keele University
424,King's College London
425,Kingston University
1100,Konstbiblioteket/Nationalmuseum och Moderna museet
1074,Konstfack
1101,Kungl. Biblioteket
1075,Kungl. Tekniska högskolan
1102,Kungl. Vetenskapsakademien KVA
606,Kungliga biblioteket
426,Lancaster University
428,Leeds Beckett University
427,Leeds College of Music
429,Leeds Trinity University (formerly Leeds Trinity and All Saints)
1077,Linköpings universitet
1076,Linnéuniversitetet
430,Liverpool Hope University
431,Liverpool Institute for Performing Arts
432,Liverpool John Moores University
1146,Liverpool School of Tropical Medicine
1103,Livsmedelverket
433,London Business School
434,London Metropolitan University
435,London School of Economics &amp; Political Science
436,London School of Hygiene &amp; Tropical Medicine
437,London South Bank University
438,Loughborough University
1148,Lower Saxony Consortia
1078,Luleå tekniska universitet
1079,Lunds universitet
1104,Läkemedelsverket
1080,Malmö högskola
439,Manchester Metropolitan University
440,Middlesex University
1081,Mittuniversitetet
1105,Musik- och teaterbiblioteket
1082,Mälardalens högskola
1046,National Institute for Medical Research (NIMR)
1044,National Library of Scotland
1045,National Museum of Scotland
1106,Naturhistoriska riksmuseet
1107,Naturvårdsverket
441,Newcastle University
442,Newman University (formerly Newman University College, Birmingham)
1055,NHS Education for Scotland
1083,Nordic School of Public Health
1108,Nordiska museet
443,Northern School of Contemporary Dance
444,Northumbria University
445,Norwich University College of the Arts
446,Nottingham Trent University
447,Oxford Brookes University
1109,Patent- och registreringsverket
1084,Polishögskolan
448,Queen Margaret University
449,Queen Mary, University of London
450,Queen's University Belfast
451,Ravensbourne College of Design and Communication
1141,Regent's University London
1110,RI.SE (Research Institutes of Sweden Holding AB)
1111,Riksantikvarieämbetet
1112,Riksarkivet RA inklusive krigs- och landsarkiven
1113,Riksdagsförvaltningen
452,Robert Gordon University
453,Roehampton University
454,Rose Bruford College
1142,Royal Academy of Arts
455,Royal Academy of Music
456,Royal Agricultural University (formerly Royal Agricultural College)
457,Royal College of Art
458,Royal College of Music
459,Royal Conservatoire of Scotland
460,Royal Holloway, University of London
461,Royal Northern College of Music
462,Royal Veterinary College, University of London
463,Royal Welsh College of Music &amp; Drama
1114,Rättsmedicinalverket
1085,Röda Korsets högskola
1115,SBU Statens beredning för medicinsk utvärdering
464,School of Oriental and African Studies
466,Scottish Agricultural College
193,SHEDL
467,Sheffield Hallam University
1116,SIPRI
1117,SMHI
1118,Socialstyrelsen
1086,Sophiahemmet högskola
468,Southampton Solent University
1119,Specialpedagogiska skolmyndigheten
1049,SRUC - Scotlands Rural College (formerly Scotland Agricultural College)
469,St George's University of London
470,St Mary's University College Belfast
471,St Mary's University College, Twickenham
472,Staffordshire University
1120,Statens geotekniska institut
1121,Statens skolverk
1122,Statens väg- och transportforskningsinstitut
1123,Statistiska centralbyrån
1087,Stockholms universitet
473,Stranmillis University College
1124,Strålsäkerhetsmyndigheten (SSM)
1153,SUB Goettingen
1149,SuUB Bremen
1125,Svenska barnboksinstitutet
1126,Svenska Filminstitutet
1127,Svenska Forskningsinstitutet i Istanbul
1128,Svenska Institutet i Rom
1129,Sveriges geologiska undersökning
1088,Sveriges lantbruksuniversitet
474,Swansea Metropolitan University  (UWTSD)
475,Swansea University
1089,Södertörns högskola
1130,Tandvårds-och Läkemedelsförmånsverket (TLV)
476,Teesside University
1131,Tekniska museet
1048,The Francis Crick Institute
478,The Open University
1132,Totalförsvarets forskningsinstitut FOI
1133,Trafikanalys
1134,Trafikverket
479,Trinity Laban Conservatoire of Music and Dance
1090,Umeå universitet
480,University Campus Suffolk
481,University College Birmingham
465,University College London  (School of Pharmacy)
483,University College London - UCL
484,University College Plymouth St Mark and St John
485,University for the Creative Arts
486,University of Aberdeen
487,University of Abertay Dundee
488,University of Bath
489,University of Bedfordshire
490,University of Birmingham
491,University of Bolton
492,University of Bradford
493,University of Brighton
494,University of Bristol
495,University of Cambridge
496,University of Central Lancashire
497,University of Chester
498,University of Chichester
499,University of Cumbria
500,University of Derby
501,University of Dundee
502,University of East Anglia - UEA
503,University of East London
504,University of Edinburgh
505,University of Essex
506,University of Exeter
508,University of Glasgow
509,University of Gloucestershire
510,University of Greenwich
511,University of Hertfordshire
512,University of Huddersfield
513,University of Hull
514,University of Kent
515,University of Leeds
516,University of Leicester
517,University of Lincoln
518,University of Liverpool
519,University of London
520,University of Manchester
521,University of Northampton
522,University of Nottingham
523,University of Oxford
524,University of Plymouth
525,University of Portsmouth
526,University of Reading
527,University of Salford
528,University of Sheffield
1038,University of South Wales
507,University of South Wales (Glamorgan)
541,University of South Wales (Newport)
529,University of Southampton
530,University of St Andrews
531,University of Stirling
532,University of Strathclyde
533,University of Sunderland
534,University of Surrey
535,University of Sussex
536,University of the Arts London
537,University of the Highlands and Islands
538,University of the West of England
539,University of the West of Scotland
540,University of Ulster
542,University of Wales Trinity St David
543,University of Warwick
544,University of West London
545,University of Westminster
546,University of Winchester
547,University of Wolverhampton
548,University of Worcester
549,University of York
1091,Uppsala universitet
1135,Vetenskapsrådet
550,Wellcome Trust
189,WHEEL
551,Writtle College
552,York St John University
1092,Örebro universitet