publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,ID.kbart_title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform_host_url,platform.administrative.name,platform.administrative.url,hybrid_oa,access_start_date,access_end_date,ti_title,ti_id
Aberdare Leader,,,1902-07-06,,,1919-12-20,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3575295,,,,,,Aberdare Leader,28164
Aberdare Times,,,1861-06-04,,,1902-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3020618,,,,,,Aberdare Times,28165
Abergavenny Mail,,,1914-06-01,,,1914-01-08,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4010658,,,,,,Abergavenny Mail,28166
Aberystwyth Observer,,,1858-06-19,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3036868,,,,,,Aberystwyth Observer,28167
"Aberystwyth Times, Cardiganshire Chronicle and Merionethshire News (1868-1869)",,,1868-02-10,,,1870-06-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/browse,,,,,,"Aberystwyth Times, Cardiganshire Chronicle and Merionethshire News (1868-1869)",28168
Adsain,,,1906-07-01,,,1919-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4007947,,,,,,Adsain,28169
Amman Valley Chronicle,,,1913-07-24,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4012351,,,,,,Amman Valley Chronicle,28170
Amserau,,,1846-01-15,,,1859-07-09,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4239147,,,,,,Amserau,28171
Baner Ac Amserau Cymru (1859-1971),,,1914-10-01,,,1919-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3836771,,,,,,Baner Ac Amserau Cymru (1859-1971),28172
Barmouth and County Advertiser,,,1914-01-01,,,1917-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4010866,,,,,,Barmouth and County Advertiser,28173
Barry Dock News,,,1889-01-31,,,1918-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3030599,,,,,,Barry Dock News,28174
Barry Herald,,,1896-02-21,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3660817,,,,,,Barry Herald,28175
Brecon & Radnor Express Carmarthen and Swansea Valley Gazette and Brynmawr District Advertiser,,,1914-01-01,,,1918-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4093082,,,,,,Brecon & Radnor Express Carmarthen and Swansea Valley Gazette and Brynmawr District Advertiser,28176
"Brecon Brecon County Times, Neath Gazette and General Advertiser",,,1866-05-05,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3855818,,,,,,"Brecon Brecon County Times, Neath Gazette and General Advertiser",28177
Brecon Reporter,,,1865-07-01,,,1867-09-11,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3679650,,,,,,Brecon Reporter,28178
Brython (Lerpwl),,,1914-01-01,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4017305,,,,,,Brython (Lerpwl),28179
Brython Cymreig,,,1892-01-01,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3690888,,,,,,Brython Cymreig,28180
Cambrian,,,1804-01-28,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3320639,,,,,,Cambrian,28269
Cambrian Daily Leader,,,1913-01-01,,,1919-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4095380,,,,,,Cambrian Daily Leader,28181
Cambrian News and Merionethshire Standard,,,1869-09-01,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3305806,,,,,,Cambrian News and Merionethshire Standard,28182
"Cardiff and Merthyr Guardian, Glamorgan, Monmouth, and Brecon Gazette",,,1845-05-07,,,1874-01-17,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3088463,,,,,,"Cardiff and Merthyr Guardian, Glamorgan, Monmouth, and Brecon Gazette",28183
Cardiff Times,,,1858-02-10,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3380665,,,,,,Cardiff Times,28184
"Cardigan Bay Visitor (Aberystwyth, Borth, Aberaeron and New Quay Ed.)",,,1887-06-24,,,1905-10-14,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3822159,,,,,,"Cardigan Bay Visitor (Aberystwyth, Borth, Aberaeron and New Quay Ed.)",28185
"Cardigan Observer, and General Advertiser For the Counties of Cardigan, Carmarthen and Pembroke",,,1878-01-05,,,1897-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3015921,,,,,,"Cardigan Observer, and General Advertiser For the Counties of Cardigan, Carmarthen and Pembroke",28186
Carmarthan Journal and South Wales Weekly Advertiser,,,1810-03-31,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3676375,,,,,,Carmarthan Journal and South Wales Weekly Advertiser,28187
Carmarthen Weekly Reporter,,,1860-09-22,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3581813,,,,,,Carmarthen Weekly Reporter,28188
Carnarvon and Denbigh Herald and North and South Wales Independent,,,1836-01-16,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3598159,,,,,,Carnarvon and Denbigh Herald and North and South Wales Independent,28189
Celt (Bala),,,1878-04-19,,,1907-03-21,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3128345,,,,,,Celt (Bala),28190
Cheshire Observer,,,1900-12-29,,,1908-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4247635,,,,,,Cheshire Observer,28191
Chester Courant and Advertiser For North Wales,,,1897-08-18,,,1908-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3662055,,,,,,Chester Courant and Advertiser For North Wales,28192
Clorianydd,,,1897-12-08,,,1919-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3456477,,,,,,Clorianydd,28193
"County Echo, Fishguard and North Pembrokeshire Advertiser",,,1893-12-14,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3634616,,,,,,"County Echo, Fishguard and North Pembrokeshire Advertiser",28194
County Observer and Monmouthshire Central Advertiser,,,1867-02-02,,,1908-08-22,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3065529,,,,,,County Observer and Monmouthshire Central Advertiser,28195
Cymro A'r Celt Llundain,,,1907-05-01,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3647643,,,,,,Cymro A'r Celt Llundain,28196
Darian,,,1914-01-01,,,1919-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4019528,,,,,,Darian,28197
Demetian Mirror,,,1840-08-15,,,1840-10-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3814529,,,,,,Demetian Mirror,28198
Denbighshire Free Press,,,1882-07-01,,,1919-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3609516,,,,,,Denbighshire Free Press,28199
Dinesydd Cymreig,,,1914-07-01,,,1919-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4014499,,,,,,Dinesydd Cymreig,28200
Dravod,,,1913-07-03,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4021860,,,,,,Dravod,28201
Evening Express,,,1849-02-13,,,1899-06-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3143635,,,,,,Evening Express,28202
Flintshire Observer,,,1914-03-01,,,1915-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3748505,,,,,,Flintshire Observer,28203
Genedl Gymreig,,,1914-06-01,,,1917-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4024370,,,,,,Genedl Gymreig,28204
Glamorgan Free Press,,,1897-05-22,,,1899-12-23,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3633473,,,,,,Glamorgan Free Press,28205
"Glamorgan, Monmouth and Brecon Gazette and Merthyr Guardian",,,1832-01-12,,,1843-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3631009,,,,,,"Glamorgan, Monmouth and Brecon Gazette and Merthyr Guardian",28206
Gwalia,,,1883-12-12,,,1910-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3659161,,,,,,Gwalia,28207
Gwladgarwr,,,1858-04-09,,,1884-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3082278,,,,,,Gwladgarwr,28208
Gwyliedydd (Rhyl),,,1877-02-03,,,1908-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3161082,,,,,,Gwyliedydd (Rhyl),28209
Gwyliedydd Newydd,,,1877-02-03,,,1908-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4027350,,,,,,Gwyliedydd Newydd,28210
Haverfordwest and Milford Haven Telegraph,,,1857-03-18,,,1919-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4116145,,,,,,Haverfordwest and Milford Haven Telegraph,28211
Herald of Wales,,,1897-06-02,,,1919-05-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4113692,,,,,,Herald of Wales,28212
Illustrated Usk Observer and Raglan Herald,,,1855-07-07,,,1866-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3078042,,,,,,Illustrated Usk Observer and Raglan Herald,28213
Llais Llafur,,,1914-03-01,,,1919-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3977363,,,,,,Llais Llafur,28214
Llais Y Wlad,,,1874-06-03,,,1884-07-08,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3573327,,,,,,Llais Y Wlad,28215
Llan,,,1881-05-11,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3680907,,,,,,Llan,28270
Llandudno Advertiser and List of Visitors,,,1896-03-01,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3650143,,,,,,Llandudno Advertiser and List of Visitors,28216
Llanelli Mercury and South Wales Advertiser,,,1897-07-01,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4239547,,,,,,Llanelli Mercury and South Wales Advertiser,28217
"Llangollen Advertiser, Denbighshire, Merionethshire, and North Wales Journal",,,1868-10-01,,,1908-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3171066,,,,,,"Llangollen Advertiser, Denbighshire, Merionethshire, and North Wales Journal",28218
London Kelt,,,1895-12-01,,,1904-09-24,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3102018,,,,,,London Kelt,28219
Merthyr Pioneer,,,1914-03-01,,,1919-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3999696,,,,,,Merthyr Pioneer,28220
"Merthyr Telegraph, and General Advertiser For the Iron Districts of South Wales",,,1855-11-08,,,1881-06-24,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3071369,,,,,,"Merthyr Telegraph, and General Advertiser For the Iron Districts of South Wales",28221
Merthyr Times and Dowlais Times and Aberdare Echo,,,1895-03-01,,,1896-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3098592,,,,,,Merthyr Times and Dowlais Times and Aberdare Echo,28222
Monmouth Guardian,,,1914-02-01,,,1919-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4030338,,,,,,Monmouth Guardian,28223
Monmouthshire Merlin,,,1829-05-23,,,1884-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3390638,,,,,,Monmouthshire Merlin,28224
Montgomery County Times and Shropshire and Mid-wales Advertiser,,,1893-01-07,,,1900-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3859894,,,,,,Montgomery County Times and Shropshire and Mid-wales Advertiser,28225
Montgomeryshire Express and Radnor Times,,,1892-01-19,,,1910-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3868239,,,,,,Montgomeryshire Express and Radnor Times,28226
Negesydd,,,1895-07-06,,,1909-01-04,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3818578,,,,,,Negesydd,28227
North Wales Chronicle and Advertiser For the Principality,,,1914-02-01,,,1919-12-24,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4242339,,,,,,North Wales Chronicle and Advertiser For the Principality,28228
North Wales Express,,,1878-04-01,,,1825-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3557975,,,,,,North Wales Express,28229
North Wales Gazette (Bangor),,,1808-05-01,,,1825-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3871108,,,,,,North Wales Gazette (Bangor),28230
North Wales Times,,,1897-02-01,,,1901-12-28,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3816246,,,,,,North Wales Times,28231
Papur Pawb,,,1893-04-02,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3585945,,,,,,Papur Pawb,28232
Pembroke County Guardian and Cardigan Reporter,,,1898-04-06,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3648597,,,,,,Pembroke County Guardian and Cardigan Reporter,28233
Pembrokeshire Herald and General Advertiser,,,1844-05-01,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3051598,,,,,,Pembrokeshire Herald and General Advertiser,28234
Penarth Chronicle,,,1895-01-19,,,1895-12-14,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3613091,,,,,,Penarth Chronicle,28235
Pontypool Free Press and Herald of the Hills,,,1859-11-06,,,1893-10-20,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3671685,,,,,,Pontypool Free Press and Herald of the Hills,28236
Pontypridd Chronicle and Workman's News,,,1881-01-15,,,1905-04-11,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3808941,,,,,,Pontypridd Chronicle and Workman's News,28237
Potter's Electric News,,,1859-05-01,,,1868-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3100020,,,,,,Potter's Electric News,28238
Prestatyn Weekly,,,1905-07-01,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3015326,,,,,,Prestatyn Weekly,28239
Principality (Haverfordwest 1847-1850),,,1848-01-02,,,1850-08-23,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3613650,,,,,,Principality (Haverfordwest 1847-1850),28240
Rhedegydd,,,1878-07-12,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4253048,,,,,,Rhedegydd,28241
Rhondda Leader,,,1899-02-12,,,1908-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3826298,,,,,,Rhondda Leader,28242
"Rhondda Leader, Maesteg, Garw and Ogmore Telegraph",,,1909-02-01,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3646555,,,,,,"Rhondda Leader, Maesteg, Garw and Ogmore Telegraph",28243
Rhos Herald,,,1909-02-01,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3658257,,,,,,Rhos Herald,28244
Rhyl Advertiser,,,1878-05-01,,,1893-01-12,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3850749,,,,,,Rhyl Advertiser,28245
Rhyl Journal,,,1889-01-19,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3621676,,,,,,Rhyl Journal,28246
Rhyl Record and Advertiser,,,1884-10-02,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3636157,,,,,,Rhyl Record and Advertiser,28247
Seren Gomer,,,1814-01-01,,,1815-09-08,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4247204,,,,,,Seren Gomer,28248
South Wales Daily Post,,,1889-11-25,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3349880,,,,,,South Wales Daily Post,28249
South Wales Star,,,1891-03-20,,,1894-06-22,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3019120,,,,,,South Wales Star,28250
South Wales Weekly Post,,,1914-03-01,,,1919-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4091881,,,,,,South Wales Weekly Post,28251
Swansea Gazette and Daily Shipping Register,,,1909-01-01,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3124859,,,,,,Swansea Gazette and Daily Shipping Register,28252
Tarian Y Gweithiwr,,,1875-01-15,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3108628,,,,,,Tarian Y Gweithiwr,28253
"Tenby Observer, Weekly List of Visitors, and Directory",,,1854-07-21,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3704210,,,,,,"Tenby Observer, Weekly List of Visitors, and Directory",28254
Towyn-on-sea & Meirioneth County Times,,,1897-12-08,,,1905-09-11,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3712384,,,,,,Towyn-on-sea & Meirioneth County Times,28255
Tyst,,,1892-05-02,,,1917-12-26,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3544919,,,,,,Tyst,28256
Tyst A'r Dydd,,,1871-06-01,,,1891-06-03,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3519041,,,,,,Tyst A'r Dydd,28257
Tyst Cymreig,,,1867-06-29,,,1870-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3673643,,,,,,Tyst Cymreig,28258
Udgorn,,,1913-01-29,,,1918-12-25,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4026054,,,,,,Udgorn,28259
"Visitors' List and Guide For Aberystwyth, Aberayron, Borth, Aberdovey, Towyn &c.",,,1887-06-22,,,1887-09-28,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3699536,,,,,,"Visitors' List and Guide For Aberystwyth, Aberayron, Borth, Aberdovey, Towyn &c.",28260
Weekly Mail,,,1879-01-02,,,1910-12-31,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3364095,,,,,,Weekly Mail,28261
Weekly News and Visitors' Chronicle For Colwyn Bay,,,1892-04-21,,,1907-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3614436,,,,,,Weekly News and Visitors' Chronicle For Colwyn Bay,28262
Welsh Coast Pioneer,,,1900-05-01,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3830741,,,,,,Welsh Coast Pioneer,28263
Welsh Gazette and West Wales Advertiser,,,1899-04-27,,,1910-12-29,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3863326,,,,,,Welsh Gazette and West Wales Advertiser,28264
Welshman,,,1835-02-01,,,1910-12-30,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/4345203,,,,,,Welshman,28265
Werin,,,1885-10-17,,,1900-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3696057,,,,,,Werin,28266
Wrexham Guardian,,,1875-02-01,,,1879-12-27,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3853340,,,,,,Wrexham Guardian,28267
Wythnos A'r Eryr,,,1899-04-01,,,1910-12-28,,,,,,,,,Welsh Newspapers Online,http://welshnewspapers.llgc.org.uk/en/title/view/3699612,,,,,,Wythnos A'r Eryr,28268
